sentence,gr.pos
"['–', 'Хьарэ', 'пӏуи', '?']","['PUNCT', 'NOUN', 'VERB', 'PUNCT']"
"['Нэужым', 'Пенсиехэмкӏэ', 'фондым', 'икъулыкъухэу', 'тиреспубликэ', 'щыӏэхэр', 'лъэӏу', 'тхылъхэр', 'аӏыхыгъэнхэм', 'фежьэщтых', '.']","['ADV', 'NOUN', 'NOUN', 'ADV', 'NOUN', 'VERB', 'VERB', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['Грознэм', 'щызэхащэщт', 'къэгъэлъэгъоным', 'тисурэтышӏхэм', 'гъэхъагъэ', 'щашӏынэу', 'афэтэӏо', '.']","['ADJ', 'VERB', 'VERB', 'NOUN', 'VERB', 'VERB', 'VERB', 'PUNCT']"
"['Сыда', 'пӏомэ', 'дунаир', 'Интернет', 'хъытыум', 'зэлъиштагъ', '.']","['ADJ', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Укъэмыгумэкӏ', ',', 'Къэсэй', '.']","['VERB', 'PUNCT', 'NOUN', 'PUNCT']"
"['Ар', 'хэку', 'гъэзетым', 'къызысэтхым', 'къыхаутыгъ', '.']","['PRON', 'NOUN', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['Уадыгэу', 'зылъытэжь', 'лъэпкъ', 'гъэзетым', 'адыгабзэкӏэ', 'уеджэмэ', '.']","['ADV', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['«', 'Сыд', 'сэӏо', 'мыщ', 'ыӏохэрэр', '?']","['PUNCT', 'ADJ', 'VERB', 'ADJ', 'VERB', 'PUNCT']"
"['-', 'Ар', 'типшъэрылъ', 'шъхьаӏэмэ', 'ахэтэлъытэ', '.']","['PUNCT', 'PRON', 'NOUN', 'ADJ', 'VERB', 'PUNCT']"
"['Механизаторхэр', 'ыпкӏэ', 'хэмылъэу', 'тэгъашхэх', '.']","['NOUN', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
