morpheme,gloss,affix,freq
м,OBL,suffix,2472744
щ,OBL,suffix,123007
концерты,OBL,suffix,12
хэ,OBL,suffix,2341
министрэ,OBL,suffix,449
мэщы,OBL,suffix,1498
й,OBL,suffix,215
шӏагъэ,OBL,suffix,389
м,OBL,prefix,228
капитаны,OBL,suffix,260
конференцие,OBL,suffix,139
инкубаторы,OBL,suffix,38
туры,OBL,suffix,16
доны,OBL,suffix,70
борэны,OBL,suffix,13
майоры,OBL,suffix,3
гъэ,OBL,suffix,16
лигэ,OBL,suffix,51
сайты,OBL,suffix,10
шыкъу,OBL,suffix,5
капитан,OBL,suffix,11
поселение,OBL,suffix,5
дэмышӏэ,OBL,suffix,19
премьеры,OBL,suffix,24
борэн,OBL,suffix,2
классы,OBL,suffix,12
тӏу,OBL,suffix,5
къуакӏэ,OBL,suffix,7
текӏы,OBL,suffix,2
сымы,OBL,suffix,13
мэщ,OBL,suffix,5
шӏыкӏэ,OBL,suffix,6
при,OBL,suffix,3
налкъуты,OBL,suffix,1
ты,OBL,suffix,4
лейтенанты,OBL,suffix,2
мышъхьэ,OBL,suffix,11
псы,OBL,suffix,1
шхо,OBL,suffix,7
тхэ,OBL,suffix,1
менеджеры,OBL,suffix,1
щыпсы,OBL,suffix,1
лыхьэ,OBL,suffix,1
балыкъы,OBL,suffix,3
адмиралы,OBL,suffix,1
шъокӏу,OBL,suffix,1
быжъы,OBL,suffix,1
секретары,OBL,suffix,1
демократие,OBL,suffix,3
финансы,OBL,suffix,1
бэ,OBL,suffix,1
бэй,OBL,suffix,1
класс,OBL,suffix,1
блэгъу,OBL,suffix,1
гъэ,PST,suffix,1723004
гъ,PST,suffix,821301
гъа,PST,suffix,103570
гъэ,PST,prefix,480
гъ,PST,prefix,354
сымы,PST,suffix,17
адмиралы,PST,suffix,1
шъокӏу,PST,suffix,2
къокӏа,PST,suffix,2
жъоры,PST,suffix,1
къокӏэ,PST,suffix,2
дэмышӏэ,PST,suffix,7
дэмышӏа,PST,suffix,2
секретары,PST,suffix,1
плӏэуа,PST,suffix,1
щты,PST,suffix,1
жьы,PST,suffix,1
шӏыкӏа,PST,suffix,1
псыи,PST,suffix,1
р,ABS,suffix,1599042
хэ,ABS,suffix,1679
шӏагъэ,ABS,suffix,214
конференцие,ABS,suffix,71
капитаны,ABS,suffix,180
министрэ,ABS,suffix,80
мэщы,ABS,suffix,56
инкубаторы,ABS,suffix,23
доны,ABS,suffix,14
при,ABS,suffix,32
капитан,ABS,suffix,10
мышъхьэ,ABS,suffix,10
шӏыкӏэ,ABS,suffix,2
тхэ,ABS,suffix,2
сымы,ABS,suffix,20
шыкъу,ABS,suffix,2
оперэ,ABS,suffix,2
тфы,ABS,suffix,2
къуакӏэ,ABS,suffix,8
бэи,ABS,suffix,1
упцӏэ,ABS,suffix,2
анжеликэ,ABS,suffix,1
туры,ABS,suffix,5
бэ,ABS,suffix,3
шхо,ABS,suffix,2
балыкъы,ABS,suffix,2
концерты,ABS,suffix,4
борэны,ABS,suffix,2
лейтенанты,ABS,suffix,2
классы,ABS,suffix,13
шъокӏу,ABS,suffix,1
дэмышӏэ,ABS,suffix,4
ты,ABS,suffix,1
гъэ,ABS,suffix,3
майоры,ABS,suffix,1
щы,ABS,suffix,1
адмиралы,ABS,suffix,1
сайты,ABS,suffix,1
бэй,ABS,suffix,1
рэ,ABS,suffix,1
класс,ABS,suffix,2
премьеры,ABS,suffix,2
къурты,ABS,suffix,1
борэн,ABS,suffix,1
тӏу,ABS,suffix,2
х,PL,suffix,601715
хэ,PL,suffix,1593572
ты,PL,suffix,2151
пӏацӏэ,PL,suffix,44
шӏагъэ,PL,suffix,1368
мышъхьэ,PL,suffix,352
конференцие,PL,suffix,9
шыкъу,PL,suffix,53
упцӏэ,PL,suffix,5
шъокӏу,PL,suffix,28
шӏыкӏэ,PL,suffix,72
класс,PL,suffix,112
жъ,PL,suffix,1
бэ,PL,suffix,4
гъэ,PL,suffix,14
щып,PL,suffix,59
къуакӏэ,PL,suffix,51
шхо,PL,suffix,7
хэ,PL,prefix,66
сайт,PL,suffix,17
инкубатор,PL,suffix,7
классы,PL,suffix,1
дэмышӏэ,PL,suffix,10
