word,lex,gr.pos,parts,gloss,trans_ru,freq,affix
ащ,а,PRON,"['а', 'щ']","['STEM', 'OBL']",тот,89315,"['root', 'suffix']"
орышъ,о,PRON,"['о', 'ры', 'шъ']","['STEM', 'PRED', 'CS2']",ты,44,"['root', 'suffix', 'suffix']"
ахэм,а,PRON,"['а', 'хэ', 'м']","['STEM', 'PL', 'OBL']",тот,26245,"['root', 'suffix', 'suffix']"
тэ,тэ,PRON,['тэ'],['STEM'],мы,9655,['root']
ахэмэ,а,PRON,"['а', 'хэ', 'мэ']","['STEM', 'PL', 'OBL.PL']",тот,5929,"['root', 'suffix', 'suffix']"
ар,а,PRON,"['а', 'р']","['STEM', 'ABS']",тот,42006,"['root', 'suffix']"
адрэм,а,PRON,"['а', 'дрэ', 'м']","['STEM', 'другой', 'OBL']",тот,650,"['root', 'suffix', 'suffix']"
тыхэтзэ,хэт,PRON,"['ты', 'хэт', 'зэ']","['1PL.ABS', 'STEM', 'SIM']",кто,2,"['prefix', 'root', 'suffix']"
ари,а,PRON,"['а', 'ри']","['STEM', 'ADD']",тот,1684,"['root', 'suffix']"
ежь,ежь,PRON,['ежь'],['STEM'],сам,10851,['root']
зэкӏэри,зэкӏэ,PRON,"['зэкӏэ', 'ри']","['STEM', 'ADD']",все,1953,"['root', 'suffix']"
адрэхэм,а,PRON,"['а', 'дрэ', 'хэ', 'м']","['STEM', 'другой', 'PL', 'OBL']",тот,459,"['root', 'suffix', 'suffix', 'suffix']"
хэтэрыкӏ,тэ,PRON,"['хэ', 'тэ', 'ры', 'кӏ']","['LOC', 'STEM', 'PRED', 'NMLZ.MNR']",мы,125,"['prefix', 'root', 'suffix', 'suffix']"
арых,а,PRON,"['а', 'ры', 'х']","['STEM', 'PRED', 'PL']",тот,3663,"['root', 'suffix', 'suffix']"
ахэр,а,PRON,"['а', 'хэ', 'р']","['STEM', 'PL', 'ABS']",тот,18546,"['root', 'suffix', 'suffix']"
а,а,PRON,['а'],['STEM'],тот,32305,['root']
ежьхэм,ежь,PRON,"['ежь', 'хэ', 'м']","['STEM', 'PL', 'OBL']",сам,1436,"['root', 'suffix', 'suffix']"
сэ,сэ,PRON,['сэ'],['STEM'],я,14219,['root']
адрэ,а,PRON,"['а', 'дрэ']","['STEM', 'другой']",тот,2086,"['root', 'suffix']"
зэкӏэ,зэкӏэ,PRON,['зэкӏэ'],['STEM'],все,9709,['root']
арышъ,а,PRON,"['а', 'ры', 'шъ']","['STEM', 'PRED', 'CS2']",тот,3760,"['root', 'suffix', 'suffix']"
сэри,сэ,PRON,"['сэ', 'ри']","['STEM', 'ADD']",я,3058,"['root', 'suffix']"
ежьхэр,ежь,PRON,"['ежь', 'хэ', 'р']","['STEM', 'PL', 'ABS']",сам,391,"['root', 'suffix', 'suffix']"
ежьхэри,ежь,PRON,"['ежь', 'хэ', 'ри']","['STEM', 'PL', 'ADD']",сам,238,"['root', 'suffix', 'suffix']"
шъо,шъо,PRON,['шъо'],['STEM'],вы,3606,['root']
сэщ,сэ,PRON,"['сэ', 'щ']","['STEM', 'OBL']",я,624,"['root', 'suffix']"
ори,о,PRON,"['о', 'ри']","['STEM', 'ADD']",ты,1596,"['root', 'suffix']"
сэрырэ,сэ,PRON,"['сэ', 'ры', 'рэ']","['STEM', 'PRED', 'DYN']",я,890,"['root', 'suffix', 'suffix']"
хэтхэр,хэт,PRON,"['хэт', 'хэ', 'р']","['STEM', 'PL', 'ABS']",кто,1477,"['root', 'suffix', 'suffix']"
адрэр,а,PRON,"['а', 'дрэ', 'р']","['STEM', 'другой', 'ABS']",тот,523,"['root', 'suffix', 'suffix']"
пэпчъ,пэпчъ,PRON,['пэпчъ'],['STEM'],каждый,5939,['root']
зэкӏэри,зэкӏэ,PRON,"['зэкӏэ', 'р', 'и']","['STEM', 'ABS', 'ADD']",все,1953,"['root', 'suffix', 'suffix']"
сэрырэ,сэ,PRON,"['сэ', 'ры', 'рэ']","['STEM', 'PRED', 'COORD']",я,890,"['root', 'suffix', 'suffix']"
зэкӏэми,зэкӏэ,PRON,"['зэкӏэ', 'м', 'и']","['STEM', 'OBL', 'ADD']",все,5376,"['root', 'suffix', 'suffix']"
арыба,а,PRON,"['а', 'ры', 'ба']","['STEM', 'PRED', 'BA']",тот,292,"['root', 'suffix', 'suffix']"
тыхэт,хэт,PRON,"['ты', 'хэт']","['1PL.ABS', 'STEM']",кто,57,"['prefix', 'root']"
о,о,PRON,['о'],['STEM'],ты,7736,['root']
орырэ,о,PRON,"['о', 'ры', 'рэ']","['STEM', 'PRED', 'COORD']",ты,355,"['root', 'suffix', 'suffix']"
ащкӏэ,а,PRON,"['а', 'щ', 'кӏэ']","['STEM', 'OBL', 'INS']",тот,4359,"['root', 'suffix', 'suffix']"
хэти,хэт,PRON,"['хэт', 'и']","['STEM', 'ADD']",кто,2560,"['root', 'suffix']"
ахэри,а,PRON,"['а', 'хэ', 'ри']","['STEM', 'PL', 'ADD']",тот,640,"['root', 'suffix', 'suffix']"
хэтхэри,хэт,PRON,"['хэт', 'хэ', 'ри']","['STEM', 'PL', 'ADD']",кто,62,"['root', 'suffix', 'suffix']"
ежьыри,ежь,PRON,"['ежьы', 'р', 'и']","['STEM', 'ABS', 'ADD']",сам,854,"['root', 'suffix', 'suffix']"
хэт,хэт,PRON,['хэт'],['STEM'],кто,3722,['root']
ежьхэри,ежь,PRON,"['ежь', 'хэ', 'р', 'и']","['STEM', 'PL', 'ABS', 'ADD']",сам,238,"['root', 'suffix', 'suffix', 'suffix']"
ащкӏи,а,PRON,"['а', 'щ', 'кӏ', 'и']","['STEM', 'OBL', 'INS', 'ADD']",тот,117,"['root', 'suffix', 'suffix', 'suffix']"
хэтхэм,хэт,PRON,"['хэт', 'хэ', 'м']","['STEM', 'PL', 'OBL']",кто,1684,"['root', 'suffix', 'suffix']"
зэкӏэмкӏи,зэкӏэ,PRON,"['зэкӏэ', 'м', 'кӏ', 'и']","['STEM', 'OBL', 'INS', 'ADD']",все,2301,"['root', 'suffix', 'suffix', 'suffix']"
хэтри,хэт,PRON,"['хэт', 'р', 'и']","['STEM', 'ABS', 'ADD']",кто,3,"['root', 'suffix', 'suffix']"
тэри,тэ,PRON,"['тэ', 'р', 'и']","['STEM', 'ABS', 'ADD']",мы,2171,"['root', 'suffix', 'suffix']"
хэты,хэт,PRON,['хэты'],['STEM'],кто,77,['root']
тыхэтыныр,хэт,PRON,"['ты', 'хэты', 'ны', 'р']","['1PL.ABS', 'STEM', 'MOD', 'ABS']",кто,2,"['prefix', 'root', 'suffix', 'suffix']"
ухэтыгъ,хэт,PRON,"['у', 'хэты', 'гъ']","['2SG.ABS', 'STEM', 'PST']",кто,8,"['prefix', 'root', 'suffix']"
ари,а,PRON,"['а', 'р', 'и']","['STEM', 'ABS', 'ADD']",тот,1684,"['root', 'suffix', 'suffix']"
тати,та,PRON,"['та', 'ти']","['STEM', 'CS']",каковой,24,"['root', 'suffix']"
адрэхэри,а,PRON,"['а', 'дрэ', 'хэ', 'р', 'и']","['STEM', 'другой', 'PL', 'ABS', 'ADD']",тот,48,"['root', 'suffix', 'suffix', 'suffix', 'suffix']"
арын,а,PRON,"['а', 'ры', 'н']","['STEM', 'PRED', 'MOD']",тот,133,"['root', 'suffix', 'suffix']"
ощ,о,PRON,"['о', 'щ']","['STEM', 'OBL']",ты,630,"['root', 'suffix']"
шъори,шъо,PRON,"['шъо', 'ри']","['STEM', 'ADD']",вы,673,"['root', 'suffix']"
ежьыри,ежь,PRON,"['ежьы', 'ри']","['STEM', 'ADD']",сам,854,"['root', 'suffix']"
пэпчъи,пэпчъ,PRON,"['пэпчъ', 'и']","['STEM', 'ADD']",каждый,51,"['root', 'suffix']"
зэкӏэмэ,зэкӏэ,PRON,"['зэкӏэ', 'мэ']","['STEM', 'OBL.PL']",все,885,"['root', 'suffix']"
хэта,хэт,PRON,"['хэт', 'а']","['STEM', 'Q']",кто,1765,"['root', 'suffix']"
арыти,а,PRON,"['а', 'ры', 'ти']","['STEM', 'PRED', 'CS']",тот,652,"['root', 'suffix', 'suffix']"
тэри,тэ,PRON,"['тэ', 'ри']","['STEM', 'ADD']",мы,2171,"['root', 'suffix']"
ахэми,а,PRON,"['а', 'хэ', 'м', 'и']","['STEM', 'PL', 'OBL', 'ADD']",тот,616,"['root', 'suffix', 'suffix', 'suffix']"
ежьыр,ежь,PRON,"['ежьы', 'р']","['STEM', 'ABS']",сам,525,"['root', 'suffix']"
ежьхэми,ежь,PRON,"['ежь', 'хэ', 'м', 'и']","['STEM', 'PL', 'OBL', 'ADD']",сам,322,"['root', 'suffix', 'suffix', 'suffix']"
шъори,шъо,PRON,"['шъо', 'р', 'и']","['STEM', 'ABS', 'ADD']",вы,673,"['root', 'suffix', 'suffix']"
ахэри,а,PRON,"['а', 'хэ', 'р', 'и']","['STEM', 'PL', 'ABS', 'ADD']",тот,640,"['root', 'suffix', 'suffix', 'suffix']"
арыщтын,а,PRON,"['а', 'ры', 'щты', 'н']","['STEM', 'PRED', 'AUX', 'MOD']",тот,207,"['root', 'suffix', 'suffix', 'suffix']"
адрэми,а,PRON,"['а', 'дрэ', 'м', 'и']","['STEM', 'другой', 'OBL', 'ADD']",тот,54,"['root', 'suffix', 'suffix', 'suffix']"
зэкӏи,зэкӏэ,PRON,"['зэкӏ', 'и']","['STEM', 'ADD']",все,6,"['root', 'suffix']"
шъощ,шъо,PRON,"['шъо', 'щ']","['STEM', 'OBL']",вы,251,"['root', 'suffix']"
пэпчъкӏэ,пэпчъ,PRON,"['пэпчъ', 'кӏэ']","['STEM', 'INS']",каждый,102,"['root', 'suffix']"
шъор,шъо,PRON,"['шъо', 'р']","['STEM', 'ABS']",вы,98,"['root', 'suffix']"
арыгъэ,а,PRON,"['а', 'ры', 'гъэ']","['STEM', 'PRED', 'PST']",тот,565,"['root', 'suffix', 'suffix']"
ащи,а,PRON,"['а', 'щ', 'и']","['STEM', 'OBL', 'ADD']",тот,1447,"['root', 'suffix', 'suffix']"
арырэ,а,PRON,"['а', 'ры', 'рэ']","['STEM', 'PRED', 'COORD']",тот,53,"['root', 'suffix', 'suffix']"
ухэтышъущтэп,хэт,PRON,"['у', 'хэты', 'шъу', 'щт', 'эп']","['2SG.ABS', 'STEM', 'POT', 'FUT', 'NEG']",кто,1,"['prefix', 'root', 'suffix', 'suffix', 'suffix']"
хэтрэ,хэт,PRON,"['хэт', 'рэ']","['STEM', 'COORD']",кто,535,"['root', 'suffix']"
закӏэх,зэкӏэ,PRON,"['закӏэ', 'х']","['STEM', 'PL']",все,103,"['root', 'suffix']"
орырэ,о,PRON,"['о', 'ры', 'рэ']","['STEM', 'PRED', 'DYN']",ты,355,"['root', 'suffix', 'suffix']"
шъуежьи,ежь,PRON,"['шъу', 'ежь', 'и']","['2PL.ABS', 'STEM', 'ADD']",сам,4,"['prefix', 'root', 'suffix']"
тэрырэ,тэ,PRON,"['тэ', 'ры', 'рэ']","['STEM', 'PRED', 'DYN']",мы,63,"['root', 'suffix', 'suffix']"
хэтэрыкӏ,тэ,PRON,"['х', 'э', 'тэ', 'ры', 'кӏ']","['LOC', 'DYN', 'STEM', 'PRED', 'EL']",мы,125,"['prefix', 'prefix', 'root', 'suffix', 'suffix']"
фэтэрым,тэ,PRON,"['фэ', 'тэ', 'ры', 'м']","['BEN', 'STEM', 'PRED', 'OBL']",мы,68,"['prefix', 'root', 'suffix', 'suffix']"
уарыхьэмэ,а,PRON,"['у', 'а', 'ры', 'хьэ', 'мэ']","['2SG.ABS', 'STEM', 'PRED', 'ILL', 'COND']",тот,3,"['prefix', 'root', 'suffix', 'suffix', 'suffix']"
ежьымкӏэ,ежь,PRON,"['ежьы', 'м', 'кӏэ']","['STEM', 'OBL', 'INS']",сам,48,"['root', 'suffix', 'suffix']"
ой,о,PRON,"['о', 'й']","['STEM', 'OBL']",ты,101,"['root', 'suffix']"
сэрыкӏэ,сэ,PRON,"['сэ', 'ры', 'кӏэ']","['STEM', 'PRED', 'NMLZ.MNR']",я,76,"['root', 'suffix', 'suffix']"
хэтэрыкӏхэри,тэ,PRON,"['хэ', 'тэ', 'ры', 'кӏ', 'хэ', 'ри']","['LOC', 'STEM', 'PRED', 'EL', 'PL', 'ADD']",мы,25,"['prefix', 'root', 'suffix', 'suffix', 'suffix', 'suffix']"
тэр,тэ,PRON,"['тэ', 'р']","['STEM', 'ABS']",мы,244,"['root', 'suffix']"
хэтым,хэт,PRON,"['хэты', 'м']","['STEM', 'OBL']",кто,213,"['root', 'suffix']"
арыкӏыжьыгъагъэп,а,PRON,"['а', 'ры', 'кӏы', 'жьы', 'гъа', 'гъ', 'эп']","['STEM', 'PRED', 'EL', 'RE', 'PST', 'PST', 'NEG']",тот,2,"['root', 'suffix', 'suffix', 'suffix', 'suffix', 'suffix', 'suffix']"
арымэ,а,PRON,"['а', 'ры', 'мэ']","['STEM', 'PRED', 'COND']",тот,191,"['root', 'suffix', 'suffix']"
хэтымэ,хэт,PRON,"['хэты', 'мэ']","['STEM', 'OBL.PL']",кто,11,"['root', 'suffix']"
арыхэп,а,PRON,"['а', 'ры', 'х', 'эп']","['STEM', 'PRED', 'PL', 'NEG']",тот,75,"['root', 'suffix', 'suffix', 'suffix']"
