word,lex,gr.pos,parts,gloss,trans_ru,freq,affix
ащ,а,PRON,"['а', 'щ']","['STEM', 'OBL']",тот,89315,"['root', 'suffix']"
а,а,PRON,['а'],['STEM'],тот,32305,['root']
ежь,ежь,PRON,['ежь'],['STEM'],сам,10851,['root']
ар,а,PRON,"['а', 'р']","['STEM', 'ABS']",тот,42006,"['root', 'suffix']"
хэти,хэт,PRON,"['хэт', 'и']","['STEM', 'ADD']",кто,2560,"['root', 'suffix']"
тэри,тэ,PRON,"['тэ', 'р', 'и']","['STEM', 'ABS', 'ADD']",мы,2171,"['root', 'suffix', 'suffix']"
ахэм,а,PRON,"['а', 'хэ', 'м']","['STEM', 'PL', 'OBL']",тот,26245,"['root', 'suffix', 'suffix']"
сэри,сэ,PRON,"['сэ', 'ри']","['STEM', 'ADD']",я,3058,"['root', 'suffix']"
зэкӏэ,зэкӏэ,PRON,['зэкӏэ'],['STEM'],все,9709,['root']
тэри,тэ,PRON,"['тэ', 'ри']","['STEM', 'ADD']",мы,2171,"['root', 'suffix']"
тэ,тэ,PRON,['тэ'],['STEM'],мы,9655,['root']
арын,а,PRON,"['а', 'ры', 'н']","['STEM', 'PRED', 'MOD']",тот,133,"['root', 'suffix', 'suffix']"
хэта,хэт,PRON,"['хэт', 'а']","['STEM', 'Q']",кто,1765,"['root', 'suffix']"
ахэмэ,а,PRON,"['а', 'хэ', 'мэ']","['STEM', 'PL', 'OBL.PL']",тот,5929,"['root', 'suffix', 'suffix']"
шъо,шъо,PRON,['шъо'],['STEM'],вы,3606,['root']
о,о,PRON,['о'],['STEM'],ты,7736,['root']
ахэр,а,PRON,"['а', 'хэ', 'р']","['STEM', 'PL', 'ABS']",тот,18546,"['root', 'suffix', 'suffix']"
шъор,шъо,PRON,"['шъо', 'р']","['STEM', 'ABS']",вы,98,"['root', 'suffix']"
сэ,сэ,PRON,['сэ'],['STEM'],я,14219,['root']
тамэ,та,PRON,"['та', 'мэ']","['STEM', 'OBL.PL']",каковой,214,"['root', 'suffix']"
ащкӏэ,а,PRON,"['а', 'щ', 'кӏэ']","['STEM', 'OBL', 'INS']",тот,4359,"['root', 'suffix', 'suffix']"
ари,а,PRON,"['а', 'р', 'и']","['STEM', 'ABS', 'ADD']",тот,1684,"['root', 'suffix', 'suffix']"
адрэр,а,PRON,"['а', 'дрэ', 'р']","['STEM', 'другой', 'ABS']",тот,523,"['root', 'suffix', 'suffix']"
зэкӏэри,зэкӏэ,PRON,"['зэкӏэ', 'ри']","['STEM', 'ADD']",все,1953,"['root', 'suffix']"
пэпчъ,пэпчъ,PRON,['пэпчъ'],['STEM'],каждый,5939,['root']
арышъ,а,PRON,"['а', 'ры', 'шъ']","['STEM', 'PRED', 'CS2']",тот,3760,"['root', 'suffix', 'suffix']"
хэтхэр,хэт,PRON,"['хэт', 'хэ', 'р']","['STEM', 'PL', 'ABS']",кто,1477,"['root', 'suffix', 'suffix']"
зэкӏэмкӏи,зэкӏэ,PRON,"['зэкӏэ', 'м', 'кӏ', 'и']","['STEM', 'OBL', 'INS', 'ADD']",все,2301,"['root', 'suffix', 'suffix', 'suffix']"
зэкӏэми,зэкӏэ,PRON,"['зэкӏэ', 'м', 'и']","['STEM', 'OBL', 'ADD']",все,5376,"['root', 'suffix', 'suffix']"
хэт,хэт,PRON,['хэт'],['STEM'],кто,3722,['root']
ари,а,PRON,"['а', 'ри']","['STEM', 'ADD']",тот,1684,"['root', 'suffix']"
хэтэрыкӏ,тэ,PRON,"['хэ', 'тэ', 'ры', 'кӏ']","['LOC', 'STEM', 'PRED', 'EL']",мы,125,"['prefix', 'root', 'suffix', 'suffix']"
арых,а,PRON,"['а', 'ры', 'х']","['STEM', 'PRED', 'PL']",тот,3663,"['root', 'suffix', 'suffix']"
арыщтын,а,PRON,"['а', 'ры', 'щты', 'н']","['STEM', 'PRED', 'AUX', 'MOD']",тот,207,"['root', 'suffix', 'suffix', 'suffix']"
ощ,о,PRON,"['о', 'щ']","['STEM', 'OBL']",ты,630,"['root', 'suffix']"
хэтхэм,хэт,PRON,"['хэт', 'хэ', 'м']","['STEM', 'PL', 'OBL']",кто,1684,"['root', 'suffix', 'suffix']"
пэпчъкӏэ,пэпчъ,PRON,"['пэпчъ', 'кӏэ']","['STEM', 'новый']",каждый,102,"['root', 'suffix']"
адрэ,а,PRON,"['а', 'дрэ']","['STEM', 'другой']",тот,2086,"['root', 'suffix']"
сэщ,сэ,PRON,"['сэ', 'щ']","['STEM', 'OBL']",я,624,"['root', 'suffix']"
фэтэрым,тэ,PRON,"['фэ', 'тэ', 'ры', 'м']","['BEN', 'STEM', 'PRED', 'OBL']",мы,68,"['prefix', 'root', 'suffix', 'suffix']"
ежьхэри,ежь,PRON,"['ежь', 'хэ', 'р', 'и']","['STEM', 'PL', 'ABS', 'ADD']",сам,238,"['root', 'suffix', 'suffix', 'suffix']"
тэтарырэ,та,PRON,"['т', 'э', 'та', 'ры', 'рэ']","['1PL.IO', 'DAT', 'STEM', 'PRED', 'DYN']",каковой,5,"['prefix', 'prefix', 'root', 'suffix', 'suffix']"
ежьыри,ежь,PRON,"['ежьы', 'р', 'и']","['STEM', 'ABS', 'ADD']",сам,854,"['root', 'suffix', 'suffix']"
хэтэрыкӏ,тэ,PRON,"['х', 'э', 'тэ', 'ры', 'кӏ']","['LOC', 'DYN', 'STEM', 'PRED', 'EL']",мы,125,"['prefix', 'prefix', 'root', 'suffix', 'suffix']"
ежьхэм,ежь,PRON,"['ежь', 'хэ', 'м']","['STEM', 'PL', 'OBL']",сам,1436,"['root', 'suffix', 'suffix']"
зэкӏагъэх,зэкӏэ,PRON,"['зэкӏа', 'гъэ', 'х']","['STEM', 'NMLZ.ABSTR', 'PL']",все,16,"['root', 'suffix', 'suffix']"
ежьыхэри,ежь,PRON,"['ежьы', 'хэ', 'ри']","['STEM', 'PL', 'ADD']",сам,12,"['root', 'suffix', 'suffix']"
зэкӏэм,зэкӏэ,PRON,"['зэкӏэ', 'м']","['STEM', 'OBL']",все,281,"['root', 'suffix']"
арыхьэзэ,а,PRON,"['а', 'ры', 'хьэ', 'зэ']","['STEM', 'PRED', 'ILL', 'SIM']",тот,4,"['root', 'suffix', 'suffix', 'suffix']"
арыми,а,PRON,"['а', 'ры', 'м', 'и']","['STEM', 'PRED', 'OBL', 'ADD']",тот,132,"['root', 'suffix', 'suffix', 'suffix']"
арти,а,PRON,"['а', 'р', 'ти']","['STEM', 'ABS', 'CS']",тот,267,"['root', 'suffix', 'suffix']"
зэкӏэри,зэкӏэ,PRON,"['зэкӏэ', 'р', 'и']","['STEM', 'ABS', 'ADD']",все,1953,"['root', 'suffix', 'suffix']"
хэты,хэт,PRON,['хэты'],['STEM'],кто,77,['root']
зэкӏэмэ,зэкӏэ,PRON,"['зэкӏэ', 'мэ']","['STEM', 'OBL.PL']",все,885,"['root', 'suffix']"
